"Authors","Author full names","Author(s) ID","Title","DOI","Link","Abstract"
"Clegg L.X.; Feuer E.J.; Midthune D.N.; Fay M.P.; Hankey B.F.","Clegg, Limin X. (7003856102); Feuer, Eric J. (7005236686); Midthune, Douglas N. (6701703201); Fay, Michael P. (57212322974); Hankey, Benjamin F. (7004341278)","7003856102; 7005236686; 6701703201; 57212322974; 7004341278","Impact of reporting delay and reporting error on cancer incidence rates and trends","10.1093/jnci/94.20.1537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037120969&doi=10.1093%2fjnci%2f94.20.1537&partnerID=40&md5=fe2c78dc64c5a27f800b59d0901d53b8","Background: Cancer incidence rates and trends are a measure of the cancer burden in the general population. We studied the impact of reporting delay and reporting error on incidence rates and trends for cancers of the female breast, colorectal, lung/bronchus, prostate, and melanoma. Methods: Based on statistical models, we obtained reporting-adjusted (i.e., adjusted for both reporting delay and reporting error) case counts for each diagnosis year beginning in 1981 using reporting information for patients diagnosed with cancer in 1981-1998 from nine cancer registries that participate in the Surveillance, Epidemiology, and End Results (SEER) program. Joinpoint linear regression was used for trend analysis. All statistical tests are two-sided. Results: Initial incidence case counts (i.e., after the standard 2-year delay) accounted for only 88%-97% of the estimated final counts; it would take 4-17 years for 99% or more of the cancer cases to be reported. The percent change between reporting-adjusted and unadjusted cancer incidence rates for the 1998 diagnosis year ranged from 3% for colorectal cancers to 14% for melanoma in whites and for prostate cancer in black males. Reporting-adjusted current incidence trends for breast cancer and lung/bronchus cancer in white females showed statistically significant increases (estimated annual percent change [EAPC] = 0.6%, 95% confidence interval [CI] = 0.1% to 1.2%) and 1.2%, 95% CI = 0.7% to 1.6%, respectively), whereas trends for these cancers using unadjusted incidence rates were not statistically significantly different from zero (EAPC = 0.4%, 95% CI = -0.1% to 0.9% and 0.5%, 95% CI = -0.1% to 1.1%, respectively). Reporting-adjusted melanoma incidence rates for white males showed a statistically significant increase since 1981 (EAPC = 4.1%, 95% CI = 3.8% to 4.4%) in contrast to the unadjusted incidence rate, which was most consistent with a flat or downward trend (EAPC = -4.2%, 95% CI = -11.1% to 3.3%) after 1996. Conclusions: Reporting-adjusted cancer incidence rates are valuable in precisely determining current cancer incidence rates and trends and in monitoring the timeliness of data collection. Ignoring reporting delay and reporting error may produce downwardly biased cancer incidence trends, particularly in the most recent diagnosis years."
"Grocott H.P.; Mackensen G.B.; Grigore A.M.; Mathew J.; Reves J.G.; Phillips-Bute B.; Smith P.K.; Newman M.F.","Grocott, Hilary P. (7005542529); Mackensen, G. Burkhard (7005784362); Grigore, Alina M. (6602086283); Mathew, Joseph (7201462641); Reves, J.G. (7102530328); Phillips-Bute, Barbara (6603871981); Smith, Peter K. (35392180600); Newman, Mark F. (7401941143)","7005542529; 7005784362; 6602086283; 7201462641; 7102530328; 6603871981; 35392180600; 7401941143","Postoperative hyperthermia is associated with cognitive dysfunction after coronary artery bypass graft surgery","10.1161/hs0202.102600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-18244369241&doi=10.1161%2fhs0202.102600&partnerID=40&md5=e1e83d74f5e08d879fe6a05a763db6c5","Background and Purpose - Temperature is a well-known modulator of experimental cerebral injury. We hypothesized that hyperthermia would be associated with a worsened cognitive outcome after coronary artery bypass graft surgery (CABG). Methods - Three hundred consenting patients undergoing cardiopulmonary bypass for CABG had hourly postoperative temperatures recorded. The degree of postoperative hyperthermia was determined by using the maximum temperature within the first 24 hours as well as by calculating the area under the curve for temperatures >37°C. Patients underwent a battery of cognitive testing both before surgery and 6 weeks after surgery. By use of factor analysis, 4 cognitive domains (scores) were identified, and the mean of the 4 scores was used to calculate the cognitive index (CI). Cognitive change was calculated as the 6-week CI minus the baseline CI. Multivariable linear regression (controlling for age, baseline cognitive function, and temperature during cardiopulmonary bypass) was used to compare postoperative hyperthermia with the postoperative cognitive change. Results - The maximum temperature within the first 24 hours after CABG ranged from 37.2°C to 39.3°C. There was no relationship between area under the curve for temperatures >37°C and cognitive dysfunction (P=0.45). However, the maximum postoperative temperature was associated with a greater amount of cognitive dysfunction at 6 weeks (P=0.05). Conclusions - This is the first report relating postoperative hyperthermia to cognitive dysfunction after cardiac surgery. Whether the hyperthermia caused the worsened outcome or whether processes that resulted in the worsened cognitive outcome also produced hyperthermia requires further investigation. In addition, interventions to avoid postoperative hyperthermia may be warranted to improve cerebral outcome after cardiac surgery."
"Parkes K.R.","Parkes, Katharine R. (35606223600)","35606223600","Shift work and age as interactive predictors of body mass index among offshore workers","10.5271/sjweh.648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036272006&doi=10.5271%2fsjweh.648&partnerID=40&md5=ee135ccf61578e09232999bfad8857a6","Objectives. This study investigated shift pattern (day shifts versus day-night rotation) and its interactions with age, and with years of shiftwork exposure, as predictors of body mass index (BMI). Methods. Survey data were collected from offshore personnel working day shifts (N=787) or day-night shifts (N=787); information was obtained about shift pattern and years of shiftwork exposure, height, weight, demographic factors, and smoking habits. Hierarchical multiple regression was used to test a model in which BMI was predicted by additive and interactive effects of shift pattern, age, and exposure years with control for confounding variables. Results. In a multivariate analysis (controlling for job type, education and smoking), BMI was predicted by the main effects of age and years of shiftwork exposure. Shift pattern was not significant as a main effect, but it interacted significantly with the curvilinear age term and with the linear and curvilinear components of shiftwork exposure. In the day shift group, age but not exposure predicted BMI; the opposite was true of the day-night shift group. The increase in BMI with an increase in age and exposure years was steeper for the day-night shift group than for the day shift group. Conclusions. The significant interaction effects found in this study were consistent with the view that continued exposure to day-night shift work gives rise to increases in BMI, over and above the normative effects of ageing on BMI shown by day-shift workers."
"Abadie A.; Angrist J.; Imbens G.","Abadie, Alberto (7003559300); Angrist, Joshua (7004017860); Imbens, Guido (6603956309)","7003559300; 7004017860; 6603956309","Instrumental variables estimates of the effect of subsidized training on the quantiles of trainee earnings","10.1111/1468-0262.00270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036222029&doi=10.1111%2f1468-0262.00270&partnerID=40&md5=1ed6a775afda4dac40f1a6b51265de5d","This paper reports estimates of the effects of JTPA training programs on the distribution of earnings. The estimation uses a new instrumental variable (IV) method that measures program impacts on quantiles. The quantile treatment effects (QTE) estimator reduces to quantile regression when selection for treatment is oxogenously determined. QTE can be computed as the solution to a convex linear programming problem, although this requires first-step estimation of a nuisance function. We develop distribution theory for the case where the first step is estimated nonparametrically. For women, the empirical results show that the JTPA program had the largest proportional impact at low quantiles. Perhaps surprisingly, however, JTPA training raised the quantiles of earnings for men only in the upper half of the trainee earnings distribution."
"Gorny M.K.; Williams C.; Volsky B.; Revesz K.; Cohen S.; Polonis V.R.; Honnen W.J.; Kayman S.C.; Krachmarov C.; Pinter A.; Zolla-Pazner S.","Gorny, Miroslaw K. (7006228733); Williams, Constance (56693441200); Volsky, Barbara (6602406928); Revesz, Kathy (7004456468); Cohen, Sandra (55484103100); Polonis, Victoria R. (6603744791); Honnen, William J. (6701613236); Kayman, Samuel C. (6701857042); Krachmarov, Chavdar (6603322222); Pinter, Abraham (7101797528); Zolla-Pazner, Susan (7006077941)","7006228733; 56693441200; 6602406928; 7004456468; 55484103100; 6603744791; 6701613236; 6701857042; 6603322222; 7101797528; 7006077941","Human monoclonal antibodies specific for conformation-sensitive epitopes of V3 neutralize human immunodeficiency virus type 1 primary isolates from various clades","10.1128/JVI.76.18.9035-9045.2002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036720793&doi=10.1128%2fJVI.76.18.9035-9045.2002&partnerID=40&md5=3028bfdb0d3706af73e9473e4d81985c","The epitopes of the V3 domain of the human immunodeficiency virus type 1 (HIV-1) gp120 glycoprotein have complex structures consisting of linear and conformational antigenic determinants. Anti-V3 antibodies (Abs) recognize both types of elements, but Abs which preferentially react to the conformational aspect of the epitopes may have more potent neutralizing activity against HIV-1, as recently suggested. To test this hypothesis, human anti-V3 monoclonal Abs (MAbs) were selected using a V3 fusion protein (V3-FP) which retains the conformation of the third variable region. The V3-FP consists of the V3JR-CSF sequence inserted into a truncated form of murine leukemia virus gp70. Six human MAbs which recognize epitopes at the crown of the V3 loop were selected with the V3-FP. They were found to react more strongly with molecules displaying conformationally intact V3 than with linear V3 peptides. In a virus capture assay, these MAbs showed cross-clade binding to native, intact virions of clades A, B, C, D, and F. No binding was found to isolates from subtype E. The neutralizing activity of MAbs against primary isolates was determined in three assays: the GHOST cell assay, a phytohemagglutinin-stimulated peripheral blood mononuclear cell assay, and a luciferase assay. While these new MAbs displayed various degrees of activity, the pattern of cross-clade neutralization of clades A, B, and F was most pronounced. The neutralization of clades C and D viruses was weak and sporadic, and neutralization of clade E by these MAbs was not detected. Analysis by linear regression showed a highly significant correlation (P < 0.0001) between the strength of binding of these anti-V3 MAbs to intact virions and the percent neutralization. These studies demonstrate that human MAbs to conformation-sensitive epitopes of V3 display cross-clade reactivity in both binding to native, intact virions and neutralization of primary isolates."
"Kubo K.; Kanehisa H.; Fukunaga T.","Kubo, Keitaro (7401974858); Kanehisa, Hiroaki (26643531500); Fukunaga, Tetsuo (7201992196)","7401974858; 26643531500; 7201992196","Effects of resistance and stretching training programmes on the viscoelastic properties of human tendon structures in vivo","10.1113/jphysiol.2001.012703","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036402664&doi=10.1113%2fjphysiol.2001.012703&partnerID=40&md5=ee366e4a30eafe0d4e097027c5ef7a4f","The present study examined whether resistance and stretching training programmes altered the viscoelastic properties of human tendon structures in vivo. Eight subjects completed 8 weeks (4 days per week) of resistance training which consisted of unilateral plantar flexion at 70% of one repetition maximum with 10 repetitions per set (5 sets per day). They performed resistance training (RT) on one side and resistance training and static stretching training (RST; 10 min per day, 7 days per week) on the other side. Before and after training, the elongation of the tendon structures in the medial gastrocnemius muscle was directly measured using ultrasonography, while the subjects performed ramp isometric plantar flexion up to the voluntary maximum, followed by a ramp relaxation. The relationship between estimated muscle force (Fm) and tendon elongation (L) was fitted to a linear regression, the slope of which was defined as stiffness. The hysteresis was calculated as the ratio of the area within the Fm-L loop to the area beneath the load portion of the curve. The stiffness increased significantly by 18.8 ± 10.4% for RT and 15.3 ± 9.3% for RST. There was no significant difference in the relative increase of stiffness between RT and RST. The hysteresis, on the other hand, decreased 17 ± 20% for RST, but was unchanged for RT. These results suggested that the resistance training increased the stiffness of tendon structures as well as muscle strength and size, and the stretching training affected the viscosity of tendon structures but not the elasticity."
"Camberlin P.; Philippon N.","Camberlin, Pierre (6603886699); Philippon, N. (6602242916)","6603886699; 6602242916","The East African March-May rainy season: Associated atmospheric dynamics and predictability over the 1968-97 period","10.1175/1520-0442(2002)015<1002:TEAMMR>2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036571974&doi=10.1175%2f1520-0442%282002%29015%3c1002%3aTEAMMR%3e2.0.CO%3b2&partnerID=40&md5=4aa3410d91ab80379812966ba9fb6f09","This paper focuses on the East African March-May ""long rains,"" Particularly, it investigates the atmospheric patterns associated to the March-May rainfall anomalies, then proposes a seasonal prediction model. In a preliminary step, in order to define a regional rainfall index, a new form of extended principal component analysis is performed, aimed at capturing both the spatial and intraseasonal rainfall coherence. What emerges is that although the long rains exhibit a low temporal coherence, calling for a separation between the months of March-April and May in teleconnection studies, they show a relatively strong spatial consistency over the Kenya-Uganda inland region. From composite analyses performed using NCEP-NCAR reanalyzed atmospheric data, three major signals appear for that region. Two are during March-April involving ENSO and the latitudinal location of the ITCZ, and ENSO interactions with the northern extratropical dynamics (by way of cool surges toward the Tropics and upper-ridge-trough systems). The third signal is the Asian monsoon in May. As shown using a rainfall index for Ethiopia, the interactions with the midlatitudes get stronger when considering rainfall farther to the north. The predictability study identifies four February indexes, involving several scales and several atmospheric and oceanic parameters, to serve as predictors in linear multiple regression (LMR) and linear discriminant analysis (LDA) models. The predictors, selected by a stepwise procedure, depict both regional (energy gradient and zonal wind) and remote dynamics (ENSO and 500-hPa geopotential height over the Near East): they are consistent with the signals shown in the synchronous composites. The robustness of the LMR and LDA models is demonstrated by the high linear error in probability space (LEPS) scores (44% for continuous variables and 51% for categorical variables) obtained on cross-validated results."
"Thiébaut R.; Jacqmin-Gadda H.; Chêne G.; Leport C.; Commenges D.","Thiébaut, Rodolphe (7004041016); Jacqmin-Gadda, Hélène (7004863610); Chêne, Geneviève (57191405992); Leport, Catherine (24325576900); Commenges, Daniel (7006216752)","7004041016; 7004863610; 57191405992; 24325576900; 7006216752","Bivariate linear mixed models using SAS proc MIXED","10.1016/S0169-2607(02)00017-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-17644440497&doi=10.1016%2fS0169-2607%2802%2900017-2&partnerID=40&md5=bd78475d5d970c812010e490f5e1146e","Bivariate linear mixed models are useful when analyzing longitudinal data of two associated markers. In this paper, we present a bivariate linear mixed model including random effects or first-order auto-regressive process and independent measurement error for both markers. Codes and tricks to fit these models using SAS Proc MIXED are provided. Limitations of this program are discussed and an example in the field of HIV infection is shown. Despite some limitations, SAS Proc MIXED is a useful tool that may be easily extendable to multivariate response in longitudinal studies. © 2002 Elsevier Science Ireland Ltd. All rights reserved."
"Freckleton R.P.","Freckleton, Robert P. (7003470045)","7003470045","On the misuse of residuals in ecology: Regression of residuals vs. multiple regression","10.1046/j.1365-2656.2002.00618.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036105246&doi=10.1046%2fj.1365-2656.2002.00618.x&partnerID=40&md5=940d992c0e3112fffb24bf24a22220fc","1. Residuals from linear regressions are used frequently in statistical analysis, often for the purpose of controlling for unwanted effects in multivariable datasets. This paper criticizes the practice, building upon recent critiques. 2. Regression of residuals is often used as an alternative to multiple regression, often with the aim of controlling for confounding variables. When correlations exist between independent variables, as is generally the case with ecological datasets, this procedure leads to biased parameter estimates. Standard multiple regression, by contrast, yields unbiased parameter estimates. 3. In multiple regression parameters are estimated controlling for the effects of the other variables in the model, and thus multiple regression achieves what residual regression claims to do. 4. Several measures of correlation exist that differ in the way that variance is partitioned among independent variables. These can be estimated multiply, or sequentially if reasons exist for estimating effects of variables in a hierarchical manner."
"Zhou H.; Zhou Y.","Zhou, Hongyi (57376621900); Zhou, Yaoqi (7405366766)","57376621900; 7405366766","Folding rate prediction using total contact distance","10.1016/S0006-3495(02)75410-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036215854&doi=10.1016%2fS0006-3495%2802%2975410-6&partnerID=40&md5=48dacb73ec14442a98a6feb885c22239","Linear regression analysis found that either contact order (CO) or long-range order (LRO) parameter has a significant correlation with the logarithms of folding rates. This suggests that sequence separation per contact and total number of contacts are both important in determining the rate of folding. Here, the two factors are incorporated into a new parameter, total contact distance (TCD). Using a database of 28 two-state or weakly three-state folding proteins, TCD is found to be the most accurate among the three parameters (CO, LRO, and TCD) in terms of correlation and prediction. It provides even more accurate prediction than the best neural network results with two descriptors (contact order and stability per residue). The improvement is achieved in all three-structural classes (all α, β, and mixed). The accuracy of total contact distance in predicting folding rates is essentially unchanged if ""short""-ranged contacts (|i - j| ≤ 14) are not included in calculation. Thus, only long-range contacts with a sequence separation of more than 14 residues are important in determining the rate of folding. This is consistent with the results from the long-range order parameter. One of the significant outliers in prediction is found to be associated with the only protein in the database that involves nonlocal disulfide bonds. Removing the protein leads to a correlation coefficient of 0.89 between experimental observed and predicted folding rates in jackknife cross validation. The corresponding values for CO and LRO are 0.71 and 0.80, respectively."
